"Title","Author","Pub","Demo","Vols","Series","Sold","SaleVol","Run","Digi","Tele","No. Votes","No. Seen","Bayes. Estimate","Serielized"
"Promised Neverland (manga)","Kaiu Shirai, Posuka Demizu",3,0,20,4,41,2.05,0,1,1,"31","84","8.14284896850586","2016-2020"
"Rave Master (manga)","Hiro Mashima",1,0,35,6,23.5,0.67,0,0,0,"249","774","7.470743179321289","1999-2005"
"Reborn! (manga)","Akira Amano",3,0,42,8,30,0.71,0,0,0,"233","620","7.790124893188477","2004-2012"
"Red River (manga)","Chie Shinohara",2,2,28,7,20,0.71,0,0,0,"177","447","7.870669364929199","1995-2002"
"Rokudenashi Blues (manga)","Masanori Morita",3,0,42,9,60,1.42,0,0,0,"4","18","7.517250061035156","1988-1997"
"Rookies (manga)","Masanori Morita",3,0,24,5,21,0.87,0,0,0,"17","45","7.786338806152344","1998-2003"
"Rose of Versailles (manga)","Riyoko Ikeda",3,2,10,1,23,2.3,0,0,0,"41","148","8.188424110412598","1972-1973"
"Rurouni Kenshin (manga)","Nobuhiro Watsuki",3,0,28,5,72,2.57,0,1,0,"1252","2587","8.712198257446289","1994-1999"
"Sailor Moon (manga)","Naoko Takeuchi",1,2,18,6,46,2.55,0,1,1,"418","1299","7.665525436401367","1991-1997"
"Sakigake!! Otoko Juku (manga)","Akira Miyashita",3,0,34,6,27,0.79,0,0,0,"4","11","7.308799743652344","1985-1991"
"Sazae-san (manga)","Machiko Hasegawa",1,2,45,28,86,1.91,0,0,0,"9","22","7.45869255065918","1946-1974"
"Seito Shokun! (manga)","Yoko Shoji",1,2,79,42,25,0.31,0,0,0,"4","16","7.961750030517578","1977-2019"
"Seven Deadly Sins (manga)","Nakaba Suzuki",1,0,41,8,37,0.9,0,0,1,"46","127","7.69215202331543","2012-2020"
"Shaman King (manga)","Hiroyuki Takei",0,0,32,6,38,1.08,0,0,0,"446","1262","7.283822059631348","1998-2004"
"Shoot! (manga)","Tsukasa Ōshima",1,0,33,13,50,1.51,0,0,0,"3","21","-1","1990-2003"
"Shura no Mon (manga)","Masatoshi Kawahara",1,0,31,9,30,0.96,0,0,0,"1","32","-1","1987-1996"
"Silent Service (manga)","Kaiji Kawaguchi",1,1,32,8,25,0.78,0,0,0,"3","16","-1","1988-1996"
"Slam Dunk (manga)","Takehiko Inoue",3,0,31,6,170,5.48,0,0,1,"331","640","8.395910263061523","1990-1996"
"Space Brothers (manga)","Chūya Koyama",1,1,40,15,28,0.7,1,0,0,"9","31","8.523530960083008","2007-present"
"Sukeban Deka (manga)","Shinji Wada",0,2,22,6,20,0.9,0,0,0,"3","7","-1","1976-1982"
"Swan (manga)","Kyoko Ariyoshi",3,2,21,5,20,0.95,0,0,0,"22","62","7.127084732055664","1976-1981"
"Terraformars (manga)","Yū Sasuga, Kenichi Tachibana",3,1,22,7,22,1,0,0,0,"17","39","7.381414413452148","2011-2018 "
"That Time I Got Reincarnated as a Slime (manga)","Fuse, Taiki Kawakami",1,0,19,7,30,1.57,1,0,1,"13","36","7.572352409362793","2015-present"
"Tokimeki Tonight (manga)","Koi Ikeno",3,2,30,12,30,1,0,0,0,"12","27","8.101724624633789","1982-1994"
