ID,Title,Author,Pub,Demo,Vols,Series,Sold,SaleVol,Run,Digi,Tele
161,Eyeshield 21,"Riichiro Inagaki, Yusuke Murata",3,0,37,7,20,0.54,0,0,0
162,Fire Force,Atsushi Ohkubo,1,0,34,7,20,0.58,0,0,1
163,Food Wars!: Shokugeki no Soma,"Yūto Tsukuda, Shun Saeki",3,0,36,7,20,0.55,0,0,0
164,Fushigi Yugi,Yuu Watase,2,2,18,5,20,1.11,0,0,0
165,Haruhi Suzumiya,"Makoto Mizuno, Gaku Tsugano, Puyo, Eretto",0,0,57,14,20,0.35,0,0,0
166,Hayate the Combat Butler,Kenjiro Hata,2,0,52,13,20,0.38,0,0,0
167,Kimagure Orange Road,Izumi Matsumoto,3,0,18,3,20,1.11,0,0,0
168,Tasogare Ryuuseigun,Kenshi Hirokane,2,1,64,27,20,0.31,1,0,0
169,Love Hina,Ken Akamatsu,1,0,14,3,20,1.42,0,0,0
170,Master Keaton,"Naoki Urasawa, Hokusei Katsushika, Takashi Nagasaki",2,1,18,6,20,1.11,0,0,0
171,Monster,Naoki Urasawa,2,1,18,7,20,1.11,0,0,1
172,Negima! Magister Negi Magi,Ken Akamatsu,1,0,38,9,20,0.52,0,0,0
173,Peacock King,Makoto Ogino,0,1,55,34,20,0.36,0,0,0
174,Red River,Chie Shinohara,2,2,28,7,20,0.71,0,0,0
175,0 Ashibe,Hiromi Morishita,3,1,8,6,20,2.5,0,0,0
176,Sukeban Deka,Shinji Wada,0,2,22,6,20,0.9,0,0,0
177,Swan,Kyoko Ariyoshi,3,2,21,5,20,0.95,0,0,0
178,The Tale of Genji,Waki Yamato,1,2,13,13,20,1.53,0,0,0
179,The Fable,Katsuhisa Minami,1,1,26,8,20,1.53,1,1,0
180,Tokyo Daigaku Monogatari,Tatsuya Egawa,2,1,34,9,20,0.58,0,0,0
181,Weed,Yoshihiro Takahashi,0,1,60,10,20,0.33,0,0,0
