ID,title,rating,nb. votes
399,X (manga),8.03,301
400,Gokukoku no Brynhildr (manga),8.03,17
401,D.Gray-man (manga),8.03,592
402,Ichigeki Sacchu!! HoiHoi-san (manga),8.03,16
403,Future Diary (manga),8.03,308
404,Higurashi When They Cry: Abducted by Demons Arc (manga),8.03,60
405,Empty Heart (manga),8.02,19
406,Getter Robo (manga),8.02,11
407,Young Kindaichi's Casebook Special (manga),8.02,11
408,Dear (manga),8.02,6
409,Ai no Tame ni (manga),8.02,14
410,Soredemo Machi wa Mawatteiru (manga),8.02,10
411,Kindaichi-Shonen no Jikenbo Tanpenshu (manga),8.02,10
412,Tokyo Tarareba Girls (manga),8.02,6
413,Dorohedoro (manga),8.02,70
414,From Far Away (manga),8.02,125
415,All My Darling Daughters (manga),8.02,24
416,"ONE OUTS - Nobody wins, but I! (manga)",8.02,14
417,Shikeishuu 042 (manga),8.02,6
418,Dragon Eye (manga),8.02,14
419,Natsu no Zenjitsu (manga),8.01,10
420,Sola (manga),8.01,15
421,GA: Geijutsuka Art Design Class (manga),8.01,20
422,(The) Kurosagi Corpse Delivery Service (manga),8.01,62
423,Bleach (manga),8.01,1950
424,Mirai no Kioku: Kaze no Yukue (manga),8.01,6
425,Essence (manga),8.01,5
426,Sakura Trick (manga),8.01,5
427,Sekirei (manga),8.01,128
428,Help!! (manga),8.01,12
428,Kino's Journey - The Beautiful World (manga Iruka Shiomiya),8.01,4
430,Captain Harlock (manga),8.01,10
431,Only Serious About You (manga),8.01,16
432,Higurashi When They Cry: Demon Exposing Arc (manga),8.01,6
433,Aqua (manga),8.01,130
434,your name. (manga),8,8
435,"Heaven!! (manga, Shizuru Seino)",8,17
436,"Wake Up, Sleeping Beauty (manga)",8,5
437,Jungle Emperor Leo (manga),8,7
438,Eensy Weensy Monster (manga),8,25
439,Sunshine Sketch (manga),8,43
440,Deep Love: Reina no Unmei (manga),8,18
441,Nozoki Ana (manga),8,86
442,Voice Over! Seiyu Academy (manga),8,11
443,Close the Last Door (manga),8,16
444,Switch (manga),8,17
445,Say I Love You. (manga),8,55
446,Chocolat (manga by Kubonouchi),8,9
447,Under Grand Hotel (manga),8,22
448,Free Soul (manga),8,15
449,Love Stage!! (manga),8,21
450,Hayate the Combat Butler (manga),8,172
451,Onward Towards Our Noble Deaths (manga),8,16
452,Love My Life (manga),8,18
453,Tsuki to Mizu no Yoru (manga),8,7
454,Ratman (manga),8,11
455,Interspecies Reviewers (manga),8,4
456,Hellsing: The Dawn (manga),7.99,79
457,Train Man: Densha Otoko (manga),7.99,76
458,Demon Flowers: Kuruizaki no Hana (manga),7.99,12
459,Blue Period (manga),7.99,6
460,Yellow (manga),7.99,88
461,My Solo Exchange Diary (manga),7.99,10
462,Future Lovers (manga),7.99,8
463,Super Mario Adventures (manga),7.99,9
464,Partner (manga),7.99,8
465,OPUS (manga),7.99,12
466,Kokou no Hito (manga),7.99,11
467,Orenji Yane no Chiisana Ie (manga),7.99,13
468,Gakuen Babysitters (manga),7.99,7
469,Akagi (manga),7.99,15
470,Saiyuki Reload (manga),7.99,129
471,Blue Morning (manga),7.99,6
472,To Love Ru Darkness (manga),7.99,64
473,Level E (manga),7.98,38
474,Jin (manga),7.98,6
475,LDK (manga),7.98,9
476,Emanon (manga),7.98,29
477,Gunsmith Cats (manga),7.98,144
478,Dainippon Tengutou Ekotoba (manga),7.98,11
479,Strawberry 100% (manga),7.98,483
480,Majin Tantei Nōgami Neuro (manga),7.98,65
481,Twin Star Exorcists (manga),7.98,5
482,Mitsudomoe (manga),7.98,5
